No,Time,NoPCBA,MAC Box,Id PCBA,User
0,10:38,0,F000933155,6120121638,Code
1,11:26,8,,6120121632,Code
1,11:26,9,,6120121634,Code
1,11:26,10,,6120121635,Code
1,11:27,11,,6120121640,Code
1,11:27,12,,6120121641,Code
1,11:27,13,,6120121642,Code
1,11:27,14,,6120121644,Code
1,11:27,15,,6120121645,Code
1,11:27,16,,6120121646,Code
1,11:27,17,,6120121647,Code
1,11:27,18,,6120121648,Code
1,11:27,19,,6120121649,Code
1,11:28,0,F000933156,6120121646,Code
1,11:31,1,F000933156,6120121647,Code
1,11:32,0,,6120121646,Code
1,11:32,1,,6120121648,Code
1,11:36,2,,6120121630,Code
1,11:36,3,,6120121631,Code
1,11:36,4,,6120121632,Code
1,11:37,5,,6120121633,Code
1,11:37,6,,6120121634,Code
1,11:37,7,,6120121635,Code
1,11:37,8,,6120121636,Code
1,11:37,9,,6120121637,Code
1,11:37,10,,6120121638,Code
1,11:37,11,,6120121639,Code
1,11:37,12,,6120121640,Code
1,11:37,13,,6120121641,Code
1,11:37,14,,6120121642,Code
1,11:37,15,,6120121643,Code
1,11:37,16,,6120121644,Code
1,11:37,17,,6120121645,Code
1,11:37,18,,6120121650,Code
1,11:37,19,,6120121651,Code
1,11:38,0,F000933157,6120121631,Code
1,11:48,0,,6120121646,Code
2,11:54,0,,6120121633,Code
3,11:54,1,,6120121634,Code
4,11:54,2,,6120121635,Code
5,11:54,3,,6120121636,Code
6,11:54,4,,6120121637,Code
7,11:54,5,,6120121638,Code
8,11:54,6,,6120121639,Code
9,13:36,9,F000933157,6120121611,Code
10,13:36,10,F000933157,6120121612,Code
11,13:36,11,F000933157,6120121613,Code
12,13:36,12,F000933157,6120121614,Code
13,13:36,13,F000933157,6120121615,Code
14,13:36,14,F000933157,6120121616,Code
15,13:36,15,F000933157,6120121617,Code
16,13:37,16,F000933157,6120121618,Code
17,13:37,17,F000933157,6120121619,Code
18,13:37,18,F000933157,6120121620,Code
19,13:37,19,F000933157,6120121621,Code
20,13:37,0,F000933158,6120121621,Code
21,13:38,1,F000933158,6120121646,Code
22,13:38,2,F000933158,6120121648,Code
23,13:38,3,F000933158,6120121649,Code
24,13:38,4,F000933158,6120121645,Code
25,13:38,5,F000933158,6120121650,Code
26,13:38,6,F000933158,6120121651,Code
27,13:38,7,F000933158,6120121652,Code
28,13:38,8,F000933158,6120121655,Code
29,13:38,9,F000933158,6120121657,Code
30,13:38,10,F000933158,6120121658,Code
31,13:38,11,F000933158,6120121654,Code
32,13:38,12,F000933158,6120121660,Code
33,13:38,13,F000933158,6120121661,Code
34,13:38,14,F000933158,6120121662,Code
35,13:38,15,F000933158,6120121664,Code
36,13:39,16,F000933158,6120121665,Code
37,13:39,17,F000933158,6120121666,Code
38,13:39,18,F000933158,6120121667,Code
39,13:39,19,F000933158,6120121668,Code
40,13:39,0,F000933160,6120121668,Code
41,13:53,1,F000933160,6120121637,Code
42,13:53,2,F000933160,6120121639,Code
43,13:53,3,F000933160,6120121670,Code
44,13:53,4,F000933160,6120121671,Code
45,13:53,5,F000933160,6120121672,Code
46,13:53,6,F000933160,6120121673,Code
47,13:53,7,F000933160,6120121674,Code
48,13:53,8,F000933160,6120121675,Code
49,13:53,9,F000933160,6120121676,Code
50,13:53,10,F000933160,6120121677,Code
51,13:53,11,F000933160,6120121678,Code
52,13:53,12,F000933160,6120121679,Code
53,14:6,19,F000933156,6120121611,Code
54,16:38,0,F000933159,6120121638,Code
55,16:38,1,F000933159,6120121639,Code
56,16:39,2,F000933159,6120121639,Code
56,16:40,2,F000933159,6120121634,Code
57,16:43,3,F000933159,6120121621,Code
58,16:47,0,F000933154,6120121646,Code
